action,timestamp,x_axis,y_axis,z_axis
notfall,15673612986060301,92,0.7246376811594235,3.528
notfall,15673612986290302,92,0.7246376811594235,0.0
notfall,15673612986530303,92,0.7246376811594235,0.0
notfall,15673612986780304,92,0.7246376811594235,0.0
notfall,15673612987020305,92,0.7246376811594235,0.0
notfall,15673612987260306,92,0.7246376811594235,0.0
notfall,15673612987600307,92,0.7246376811594235,0.0
notfall,15673612987840308,92,0.7246376811594235,0.0
notfall,15673612988080309,92,0.7246376811594235,0.0
notfall,15673612988310310,92,0.7246376811594235,0.0
notfall,15673612988550311,92,0.7246376811594235,0.0
notfall,15673612988790312,81,65.99999999999999,-34.463
notfall,15673612989050313,76,43.103448275862064,-20.155
notfall,15673612989290314,79,39.6551724137931,10.479000000000001
notfall,15673612989520315,77,39.6551724137931,-7.276
notfall,15673612989760316,65,22.602739726027398,-55.512
notfall,15673612989990317,66,12.5,3.3810000000000002
notfall,15673612990230318,58,3.4246575342465784,-29.72
notfall,15673612990480319,60,3.521126760563376,7.234
notfall,15673612990720320,60,3.521126760563376,0.0
notfall,15673612990950321,57,5.128205128205132,-14.952
notfall,15673612991180322,50,-0.5882352941176451,-33.964
notfall,15673612991420323,56,4.216867469879515,29.958
notfall,15673612991660324,55,4.5454545454545405,-5.712999999999999
notfall,15673612991930325,56,5.789473684210522,7.502999999999999
notfall,15673612992170326,57,17.741935483870964,7.861000000000001
notfall,15673612992420327,57,21.26436781609195,0.0
notfall,15673612992650328,58,21.26436781609195,7.566
notfall,15673612992890329,56,18.42105263157895,-17.07
notfall,15673612993130330,58,12.105263157894742,15.542
notfall,15673612993390331,33,-5.737704918032788,0.0
notfall,15673612993620332,58,2.9411764705882364,5.903
notfall,15673612993870333,59,-1.162790697674421,5.711
notfall,15673612994110334,59,-5.681818181818183,0.0
notfall,15673612994350335,59,-1.162790697674421,0.0
notfall,15673612994600336,33,-5.140186915887852,0.0
notfall,15673612994860337,59,14.044943820224722,7.516
notfall,15673612995090338,35,-10.483870967741938,0.0
notfall,15673612995340339,33,-5.737704918032788,-15.53
notfall,15673612995590340,33,-2.4193548387096757,0.0
notfall,15673612995820341,29,1.162790697674421,-40.96
notfall,15673612996060342,61,12.365591397849462,7.47
notfall,15673612996330343,61,10.215053763440864,0.0
notfall,15673612996560344,62,1.1111111111111072,6.6160000000000005
notfall,15673612996810345,60,8.441558441558437,-11.325999999999999
notfall,15673612997050346,58,-7.547169811320753,-14.356
notfall,15673612997300347,60,-3.1914893617021267,12.026
notfall,15673612997550348,61,-3.1914893617021267,6.117000000000001
notfall,15673612997870349,61,10.20408163265306,0.0
notfall,15673612998110350,61,5.434782608695654,0.0
notfall,15673612998340351,30,0.4201680672268893,0.0
notfall,15673612998570352,31,1.2396694214875992,10.189
notfall,15673612998820353,63,19.23076923076923,8.479
notfall,15673612999050354,63,8.064516129032263,0.0
notfall,15673612999310355,63,7.446808510638302,0.0
notfall,15673612999540356,34,-7.600000000000001,0.0
notfall,15673612999770357,36,-8.870967741935482,17.864
notfall,15673613000010358,37,-1.6393442622950838,9.675
notfall,15673613000250359,38,3.773584905660377,8.65
notfall,15673613000490360,37,1.4018691588784993,-8.193999999999999
notfall,15673613000750361,36,-4.621848739495799,-9.883
notfall,15673613003900362,43,-3.68421052631579,46.556999999999995
notfall,15673613004130363,43,-3.68421052631579,0.0
notfall,15673613004370364,43,-6.25,0.0
notfall,15673613004630365,42,-9.047619047619051,-6.728
notfall,15673613004990366,42,-10.869565217391305,0.0
notfall,15673613005240367,44,-13.247863247863245,15.675999999999998
notfall,15673613005510368,45,-13.114754098360656,8.54
notfall,15673613005750369,46,-9.999999999999998,9.57
notfall,15673613005980370,49,-5.555555555555558,30.0
notfall,15673613006210371,50,-7.03125,10.582
notfall,15673613006450372,61,-3.846153846153844,99.63799999999999
notfall,15673613006700373,51,8.064516129032263,0.0
notfall,15673613006940374,64,5.855855855855852,119.509
notfall,15673613007170375,65,9.090909090909092,8.571
notfall,15673613007400376,66,13.247863247863245,9.964
notfall,15673613007630377,68,22.164948453608247,16.81
notfall,15673613007960378,68,19.3069306930693,0.0
notfall,15673613008190379,69,16.666666666666664,8.998
notfall,15673613008420380,65,11.607142857142858,-37.24
notfall,15673613008650381,65,8.196721311475407,0.0
notfall,15673613008880382,65,0.0,0.0
notfall,15673613009120383,66,-1.162790697674421,10.769
notfall,15673613009380384,77,0.8196721311475419,113.212
notfall,15673613009610385,72,4.330708661417327,-56.34
notfall,15673613009850386,73,11.41732283464567,11.943
notfall,15673613010080387,73,12.698412698412698,0.0
notfall,15673613010310388,81,21.1864406779661,81.42399999999999
notfall,15673613010550389,83,30.180180180180184,19.374000000000002
notfall,15673613010800390,106,14.044943820224722,5.4879999999999995
notfall,15673613011030391,85,25.86206896551724,-62.790000000000006
notfall,15673613011260392,142,81.1111111111111,3.56
notfall,15673613011490393,141,81.1111111111111,-3.583
notfall,15673613011720394,146,86.58536585365854,15.65
notfall,15673613011950395,146,86.58536585365854,0.0
notfall,15673613012210396,153,81.70731707317074,22.295
notfall,15673613012440397,158,85.71428571428572,16.84
notfall,15673613012670398,151,85.71428571428572,-20.146
notfall,15673613012900399,96,28.787878787878785,0.0
notfall,15673613013130400,97,31.914893617021278,7.846
notfall,15673613013380401,97,42.78350515463918,0.0
notfall,15673613013630402,95,42.23300970873787,-18.01
